,Plate,Block,House,Room,Level_ft,Time_Cat,Feature,Type,Text,N1,Period_cited_in_text,Level_context,Materials_notes,Class,Text2
25,"PI. XXXIX, c",9,03,35,-15.9,Intermediate II,Channel,,"A curiously concave pavement in room 35, which was so laid that the water collected in its centre and ran down a little open channel chiselled in the floor (PI. XXXIX, c) and out through a hole in the south-eastern corner of the room to the street outside. In the foreground of the photograph another paved floor (38) is seen which drained into a jar close to its south-eastern corner.",Water Features,,,,Drainage,"A curiously concave pavement in room<br>35, which was so laid that<br>the water collected in its centre<br>and ran down a little open<br>channel chiselled in the floor (PI.<br>XXXIX, c) and out through a<br>hole in the south-eastern corner of<br>the room to the street outside.<br>In the foreground of the photograph<br>another paved floor (38) is seen<br>which drained into a jar close<br>to its south-eastern corner."
26,"PI. XXXIX, c",9,03,35,-15.9,Intermediate II,Aperture,,"A curiously concave pavement in room 35, which was so laid that the water collected in its centre and ran down a little open channel chiselled in the floor (PI. XXXIX, c) and out through a hole in the south-eastern corner of the room to the street outside. In the foreground of the photograph another paved floor (38) is seen which drained into a jar close to its south-eastern corner.",Water Features,,,,Drainage,"A curiously concave pavement in room<br>35, which was so laid that<br>the water collected in its centre<br>and ran down a little open<br>channel chiselled in the floor (PI.<br>XXXIX, c) and out through a<br>hole in the south-eastern corner of<br>the room to the street outside.<br>In the foreground of the photograph<br>another paved floor (38) is seen<br>which drained into a jar close<br>to its south-eastern corner."
27,"PI. XXXIX, c",9,03,38,-15.9,Intermediate II,Pavement,,"A curiously concave pavement in room 35, which was so laid that the water collected in its centre and ran down a little open channel chiselled in the floor (PI. XXXIX, c) and out through a hole in the south-eastern corner of the room to the street outside. In the foreground of the photograph another paved floor (38) is seen which drained into a jar close to its south-eastern corner.",Water Features,,,,Water Platforms,"A curiously concave pavement in room<br>35, which was so laid that<br>the water collected in its centre<br>and ran down a little open<br>channel chiselled in the floor (PI.<br>XXXIX, c) and out through a<br>hole in the south-eastern corner of<br>the room to the street outside.<br>In the foreground of the photograph<br>another paved floor (38) is seen<br>which drained into a jar close<br>to its south-eastern corner."
28,"PI. XXXIX, c",9,03,38,-15.9,Intermediate II,Pottery - Jar,,"A curiously concave pavement in room 35, which was so laid that the water collected in its centre and ran down a little open channel chiselled in the floor (PI. XXXIX, c) and out through a hole in the south-eastern corner of the room to the street outside. In the foreground of the photograph another paved floor (38) is seen which drained into a jar close to its south-eastern corner.",Water Features,,,,Drainage,"A curiously concave pavement in room<br>35, which was so laid that<br>the water collected in its centre<br>and ran down a little open<br>channel chiselled in the floor (PI.<br>XXXIX, c) and out through a<br>hole in the south-eastern corner of<br>the room to the street outside.<br>In the foreground of the photograph<br>another paved floor (38) is seen<br>which drained into a jar close<br>to its south-eastern corner."
30,,7,06,,-15.1,Intermediate II,Pavement,,"A few surviving framnents at the level -15.1 ft. show that the well-room was paved in the Intermediate II Phase and there i.s reason to think that ,t was entered at the eastern end of the souhern side.",Water Features,,,,Water Platforms,"A few surviving framnents at the<br>level -15.1 ft. show that the<br>well-room was paved in the Intermediate<br>II Phase and there i.s reason<br>to think that ,t was entered<br>at the eastern end of the<br>souhern side."
31,,7,08,"68, 81",-15.9,Intermediate II,Well,,"Though the well-room 68, 81 was probably paved at this period, no trace whatever remains of its flooring, which may have been removed to be re-used at a higher level. The traces of a pavement of Intermediate III date have already been mentioned.",Water Features,,,,Well,"Though the well-room 68, 81 was<br>probably paved at this period, no<br>trace whatever remains of its flooring,<br>which may have been removed to<br>be re-used at a higher level.<br>The traces of a pavement of<br>Intermediate III date have already been<br>mentioned."
32,,9,06,,-13.0,Intermediate I,Pavement,,"A pavement, some 6 ft sq at the eastern end of w this room was surrounded by a all, half a brick thick, which stood in places 1 ft. 7 ins. high above the paving but had no door in it. Had this structure been situated in a street, we should have regarded it as a cesspit, but inside a room it may have been a grain-bin. Beneath it lay another pavement of about the same size, some 1 ft. lower. This house was mitered from the passage along its eastern side by a doorwuiy, 2 ft. 10 ins. wide, which was blocked up later.",Water Features,,,,Water Platforms,"A pavement, some 6 ft sq<br>at the eastern end of w<br>this room was surrounded by a<br>all, half a brick thick, which<br>stood in places 1 ft. 7<br>ins. high above the paving but<br>had no door in it. Had<br>this structure been situated in a<br>street, we should have regarded it<br>as a cesspit, but inside a<br>room it may have been a<br>grain-bin. Beneath it lay another pavement<br>of about the same size, some<br>1 ft. lower. This house was<br>mitered from the passage along its<br>eastern side by a doorwuiy, 2<br>ft. 10 ins. wide, which was<br>blocked up later."
33,,9,06,,-13.0,Intermediate I,Pavement,,"A pavement, some 6 ft sq at the eastern end of w this room was surrounded by a all, half a brick thick, which stood in places 1 ft. 7 ins. high above the paving but had no door in it. Had this structure been situated in a street, we should have regarded it as a cesspit, but inside a room it may have been a grain-bin. Beneath it lay another pavement of about the same size, some 1 ft. lower. This house was mitered from the passage along its eastern side by a doorwuiy, 2 ft. 10 ins. wide, which was blocked up later.",Water Features,,,,Water Platforms,"A pavement, some 6 ft sq<br>at the eastern end of w<br>this room was surrounded by a<br>all, half a brick thick, which<br>stood in places 1 ft. 7<br>ins. high above the paving but<br>had no door in it. Had<br>this structure been situated in a<br>street, we should have regarded it<br>as a cesspit, but inside a<br>room it may have been a<br>grain-bin. Beneath it lay another pavement<br>of about the same size, some<br>1 ft. lower. This house was<br>mitered from the passage along its<br>eastern side by a doorwuiy, 2<br>ft. 10 ins. wide, which was<br>blocked up later."
34,,9,06,"78, 33",-15.8,Intermediate I,Pavement,,"In places deep cavities had been worn in it by the setting down of numberless water-jars. An ablution platform between the well and chamber 33, at the level — 15.8 ft., was constructed of three courses of brick, of which the uppermost layer was rubbed down quite smooth. ",Water Features,,,,Water Platforms,"In places deep cavities had been<br>worn in it by the setting<br>down of numberless water-jars. An ablution<br>platform between the well and chamber<br>33, at the level — 15.8<br>ft., was constructed of three courses<br>of brick, of which the uppermost<br>layer was rubbed down quite smooth.<br>"
35,,9,06,78,-13.0,Intermediate I,Well,,"The internal diameter of this well, whose steening was raised to the level - 13.4 ft. in the subsequent period, was 2 ft. 6 ins.",Water Features,,,,Well,"The internal diameter of this well,<br>whose steening was raised to the<br>level - 13.4 ft. in the<br>subsequent period, was 2 ft. 6<br>ins."
36,,9,03,,-13.0,Intermediate I,Aperture,,The floor of this room sloped to the south-eastern corner Ar here the water ran through a small aperture in the wall into the street drain outside. ,Water Features,,,,Drainage,The floor of this room sloped<br>to the south-eastern corner Ar here<br>the water ran through a small<br>aperture in the wall into the<br>street drain outside. 
37,,7,08,19,-13.0,Intermediate I,Well,,No trace of any paving of this period was found in the well-room 19; it may have been torn up and re-used at a later date.,Water Features,,,,Well,No trace of any paving of<br>this period was found in the<br>well-room 19; it may have been<br>torn up and re-used at a<br>later date.
38,,7,05,77,-13.0,Intermediate I,Well,,"The wide doorway of Intermediate II date on the northern side of the wellroom in House V was entirely occluded in this period by a staircase, 3 ft. 6 ins. wide, rising to the west, with treads 9.25 ins. broad by 8 ins. high. The entrance to the well-room at this time was probably from the west though that wall was badly damaged and the actual position of the door could not be ascertained. Against the eastern part of the southern wall of this well-room at the level — 13.6 ft. were the remains of an unusually fine pavement of two courses of bricks 10.4 X 5.35x2 ins. in size, laid on a 3 ft. 4 ins. thick layer of kiln-refuse, which in turn rested on a stratum of ash about half an inch thick. This pavement was carefully bordered with bricks set on their shorter edges so as to project 5-5 ins. above the floor level. I do not think that this thick layer of pottery kiln-refuse was intended to drain the room; it was merely used as a convenient filling which would not be liable to settle. Similar material was quite frequently used for the foundations of walls, especially in the Late Period",Water Features,,,,Well,"The wide doorway of Intermediate II<br>date on the northern side of<br>the wellroom in House V was<br>entirely occluded in this period by<br>a staircase, 3 ft. 6 ins.<br>wide, rising to the west, with<br>treads 9.25 ins. broad by 8<br>ins. high. The entrance to the<br>well-room at this time was probably<br>from the west though that wall<br>was badly damaged and the actual<br>position of the door could not<br>be ascertained. Against the eastern part<br>of the southern wall of this<br>well-room at the level — 13.6<br>ft. were the remains of an<br>unusually fine pavement of two courses<br>of bricks 10.4 X 5.35x2 ins.<br>in size, laid on a 3<br>ft. 4 ins. thick layer of<br>kiln-refuse, which in turn rested on<br>a stratum of ash about half<br>an inch thick. This pavement was<br>carefully bordered with bricks set on<br>their shorter edges so as to<br>project 5-5 ins. above the floor<br>level. I do not think that<br>this thick layer of pottery kiln-refuse<br>was intended to drain the room;<br>it was merely used as a<br>convenient filling which would not be<br>liable to settle. Similar material was<br>quite frequently used for the foundations<br>of walls, especially in the Late<br>Period"
